metricname,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP
Provider,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM
lastupdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,55.0737,72.5646,69.4906,70.5631,74.5656,58.5944,70.6488,59.7188,77.1824,72.582,71.5805,39.0334,41.2048,42.0292,41.7637,46.9352,43.9429,45.8994,41.2268,33.2236,44.5427,41.3502,81.0408,62.4096,76.9215,74.0432,71.4535,77.6722,81.746,76.3195,82.8947,76.9911,87.7637,68.7732,74.6987,72.2651,74.0432,71.6287,59.1448,74.8677,73.3238,77.9605,68.4365,71.7299,65.4275,79.2771,78.9141,83.361,83.5376,58.4323,86.2433,70.8987,85.8552,83.1858,83.9662,50.9541,69.6533,67.7643,72.9026,73.3985,51.627,66.8571,62.2489,73.27,71.459,69.2307,42.6548,68.5322,67.5483,79.938,76.2163,72.2836,54.3341,53.0142,69.8162,70.7293,63.3405,63.2103,78.0249,77.9105,81.3939,82.1537,57.8723,85.6742,74.004,82.0964,78.4944,79.3743
2017-01-11,55.1304,72.5678,69.5138,70.6233,74.4906,58.6616,70.7317,59.8293,77.2034,72.5589,71.8844,38.5185,41.0628,41.9505,41.3621,46.8641,43.7054,46.0317,40.9282,33.7171,44.8377,40.9282,80.7407,62.3188,76.9261,74.0863,71.2543,78.1472,81.6137,76.3713,82.7302,77.5811,87.7637,68.5185,75.1207,72.3033,73.9202,71.2543,59.8574,74.4708,73.277,78.125,68.7315,72.5738,65.1851,79.227,78.8726,83.2225,83.4494,59.1448,86.1111,70.7454,85.8552,83.1858,83.9662,50.9541,69.6276,67.7168,72.9026,73.3496,51.6695,67.0751,61.8952,73.2142,71.5099,69.0208,42.6548,68.6042,67.5596,79.9627,76.3444,72.3487,54.4654,52.7879,69.8162,70.6896,63.4093,63.2235,78.1203,77.9118,81.4323,82.1055,57.8922,85.6519,73.9868,82.1159,78.4944,79.3668
2017-01-12,55.0737,72.6099,69.5207,70.6058,74.4559,58.6647,70.6831,59.7886,77.243,72.6355,72.201,38.6617,41.1622,42.0283,41.3621,47.0279,43.4679,46.4993,41.1516,33.6617,44.5427,40.6779,80.6691,62.4697,76.9979,73.9202,71.8531,78.1472,81.638,76.4044,82.4302,77.8761,88.1355,68.7732,75.3026,72.3529,73.9202,71.6783,59.8574,73.9762,73.1741,78.3251,69.0265,72.8813,65.0557,79.4188,78.8843,83.2225,83.7412,59.1448,86.1294,70.646,85.7142,83.1858,83.8983,51.0476,69.6219,67.7518,73.1543,73.1409,51.8421,66.9657,62.037,73.2849,71.6524,69.0208,42.5795,68.6412,67.5174,80.0744,76.2392,72.3376,54.4654,52.8207,69.7704,70.4306,63.449,63.1868,78.1221,77.9068,81.4618,82.0611,57.804,85.6653,73.9289,82.1332,78.5906,79.4321
2017-01-13,55.1304,72.643,69.5277,70.6058,74.4622,58.5504,70.5761,59.83,77.2974,72.6585,72.3193,38.2899,41.1622,41.9708,41.196,46.9458,43.8388,46.5608,41.0939,33.4975,44.5427,40.2542,80.6691,62.4697,77.0275,74.0863,72.0767,77.962,81.746,76.2973,82.266,78.171,88.1355,68.7732,75.5447,72.3236,73.588,71.5532,59.4786,74.074,73.0715,78.3251,69.3215,73.305,65.0557,79.4188,78.9334,83.2225,83.5951,59.4786,86.3756,70.5469,85.7142,83.4808,83.8983,51.3409,69.602,67.793,73.093,73.0298,51.9754,67.1288,62.0871,73.3816,71.6725,69.0705,42.5531,68.5671,67.4896,80.1118,76.198,72.3846,54.2713,52.7676,69.7605,70.3969,63.735,63.15,78.1686,77.9032,81.5284,81.983,57.7914,85.6653,73.8515,82.1624,78.5876,79.462
2017-01-15,55.1784,72.6308,69.5058,70.5681,74.4211,58.5863,70.566,59.9178,77.2455,72.502,72.1884,38.0597,40.92,41.7934,41.0981,46.5968,43.8388,46.2962,41.0112,33.3333,44.2477,40.2542,80.9701,62.4697,77.1758,74.376,72.4258,78.199,81.8783,76.264,82.266,78.466,88.1355,69.0298,75.5447,72.2053,73.2113,71.7277,59.2417,73.6772,73.0337,78.1609,69.0265,73.7288,65.2985,79.4188,79.0018,83.361,83.5951,59.4786,86.3756,70.7865,85.7142,83.4808,83.8983,51.0556,69.497,67.7501,73.1993,72.9809,51.8876,67.1288,62.1943,73.3631,71.5302,68.9102,42.6287,68.5809,67.4805,80.2369,76.224,72.3958,54.1457,52.7992,69.7407,70.2922,63.5969,63.1631,78.2059,77.8918,81.5148,81.8844,57.7551,85.6609,73.9097,82.172,78.5195,79.4181
2017-01-16,55.3043,72.6399,69.4689,70.5631,74.3199,58.5863,70.5216,59.8125,77.2096,72.4832,72.1336,38.0597,41.2621,42.118,41.2645,46.7826,44.5238,46.3672,41.3744,34.046,44.8377,40.2542,80.9701,62.6213,77.3584,74.376,72.6956,78.8095,81.7701,76.5778,82.4013,78.761,88.5593,69.7761,75.7281,72.3067,73.0449,71.6521,59.2857,73.4478,73.2117,78.6184,69.3215,73.7288,65.6716,79.3689,79.0829,83.5274,83.4782,59.5238,86.1294,71.2482,85.6907,83.7758,83.8983,50.9578,69.5623,67.7672,73.0769,73.0298,52.2807,67.292,62.0303,73.3631,71.4793,68.8,42.9078,68.5925,67.5054,80.2492,76.2635,72.526,54.1745,52.8824,69.7019,70.4022,63.2829,63.1815,78.1522,77.891,81.5299,81.8747,57.7888,85.6964,73.9838,82.1601,78.4561,79.3466
2017-01-17,55.2173,72.7031,69.4856,70.5281,74.2058,58.7452,70.5176,59.836,77.2764,72.5481,72.1124,37.6865,41.3625,42.2109,41.2645,47.3043,44.63,46.3672,41.5966,33.8259,44.7058,41.1016,80.597,62.2871,77.2819,74.5424,72.6956,78.7589,81.7701,76.4705,82.1018,78.8235,88.5593,69.7761,75.4257,72.0689,72.7121,71.826,59.6658,72.9194,72.8291,78.1609,69.1176,73.305,65.6716,79.3187,79.0263,83.5274,83.4782,59.4272,86.1294,71.1484,85.55,83.5294,83.8983,50.9578,69.6078,67.8434,73.2888,73.0562,52.4186,67.3452,62.1052,73.3929,71.611,68.75,43.0604,68.6528,67.5411,80.3493,76.2939,72.3598,54.2946,53.1731,69.6235,70.3685,63.2146,63.1763,78.1862,77.9015,81.5284,81.8001,57.7851,85.7076,74.1022,82.1715,78.4459,79.3178
2017-01-18,55.2173,72.7363,69.4897,70.468,74.2128,58.7339,70.4592,59.8305,77.4061,72.4686,72.1673,37.9182,41.2195,42.1212,41.6666,47.1304,44.418,46.306,41.5966,33.6617,44.2477,40.2542,80.6691,61.9512,77.1851,74.3333,72.5217,78.6223,81.6622,76.4705,81.9376,79.056,88.5593,69.5167,75.3658,71.9123,72.6666,71.826,59.3824,72.8232,72.689,77.6683,69.0265,73.305,65.4275,79.2682,79.0509,83.6666,83.4782,59.3824,86.0158,71.4285,85.55,83.7758,83.8983,51.0516,69.5169,67.7833,73.2053,73.0337,52.5991,67.1009,61.8766,73.3519,71.57,68.75,43.3928,68.7801,67.5771,80.375,76.3166,72.4543,54.1692,53.3514,69.5751,70.287,63.2543,63.0892,78.1796,77.9176,81.6176,81.7893,57.8361,85.6831,74.1106,82.2292,78.4593,79.3178
2017-01-19,55.3135,72.7333,69.4925,70.4458,74.2678,58.7619,70.4249,59.8714,77.4035,72.3777,72.07,37.9182,41.9117,42.0775,41.3621,46.7826,44.418,46.3672,41.3407,33.6617,44.2136,40.4255,80.2973,62.9901,77.0541,73.588,72.6956,78.6223,81.638,75.9776,81.4449,79.2284,88.5106,69.1449,75.7352,72.0024,72.7574,71.826,59.8574,72.7873,72.7653,77.5041,69.4362,73.617,65.0557,79.4117,79.0221,83.5548,83.4782,59.3824,86.1294,71.229,85.55,83.9762,83.8297,50.8604,69.4771,67.732,73.2053,72.9624,52.6455,67.0473,61.9172,73.1884,71.5395,68.5393,43.5483,68.7546,67.587,80.3504,76.2663,72.4296,54.2319,53.3453,69.6119,70.3969,63.2146,63.015,78.1782,77.9207,81.6047,81.7401,57.7688,85.6831,74.1759,82.2878,78.4358,79.3604
2017-01-20,55.2356,72.7574,69.5014,70.3735,74.1935,58.7339,70.4592,60.0233,77.4368,72.3475,72.0912,37.7777,41.5647,42.0316,41.2645,46.7826,44.8931,46.3672,41.1436,33.6065,44.2136,40.4255,80.0,62.5916,77.0478,73.7104,72.3478,78.6223,81.7701,76.29,81.6393,79.2284,88.0851,68.8888,75.0611,71.9383,73.0449,71.6521,59.3824,72.9194,72.6638,77.8688,69.1394,73.617,64.8148,79.4621,79.0957,83.5274,83.4782,59.6199,86.1294,71.6875,85.5737,83.9762,83.8297,50.6692,69.6078,67.8085,73.25,73.0112,52.7336,67.1288,62.1461,73.3704,71.3178,68.75,43.447,68.7592,67.5458,80.1627,76.1707,72.477,54.3,53.2731,69.6544,70.3244,63.0387,62.9648,78.1966,77.9099,81.5843,81.6789,57.7041,85.6543,74.2258,82.311,78.4257,79.3679
